Tract,Name,MedianIncome,TotalPopulation,MedianAge,PopulationWhiteAlone,PopulationBlackAlone,PopulationAmericanIndianAlaskaNativeAlone,PopulationAsianAlone,PopulationNativeHawaiianPacificIslanderAlone,PopulationSomeOtherRaceAlone,PopulationTwoOrMoreRaces,PopulationNotHispanicWhiteAlone,PopulationHispanic,MedianGrossRent,MedianHomeValue,MedianYearStructureBuilt,TotalHousingUnits,TotalVacantHousingUnits,OccupiedHousingUnitsOwnerOccupied,OccupiedHousingUnitsRenterOccupied,TravelTimeToWork_lessthan5min,TravelTimeToWork_5to9min,TravelTimeToWork_10to14min,TravelTimeToWork_15to19min,TravelTimeToWork_20to24min,TravelTimeToWork_25to29min,TravelTimeToWork_30to34min,TravelTimeToWork_35to44min,TravelTimeToWork_45to59min,TravelTimeToWork_60to89min,TravelTimeToWork_90ormoremin,MeansOfTransportationToWork_CarTruckVan,MeansOfTransportationToWork_PublicTransportation,MeansOfTransportationToWork_Bicycle,MeansOfTransportationToWork_Walked,MeansOfTransportationToWork_WorkedFromHome,geometry,GEOID
000201,Block Group 1; Census Tract 2.01; New York County; New York,64665,817,38.5,342,31,0,259,0,62,123,238,224,2428,-666666666,1938,440,55,0,385,6,6,26,5,61,13,34,60,49,52,0,5,153,15,139,97,"POLYGON ((-73.98716483290654 40.71431149879027, -73.98607683484451 40.71440049714932, -73.98534383614854 40.71446149604254, -73.98524283775728 40.71384549708236, -73.98511383814582 40.71378649702021, -73.98505783987754 40.71307749829725, -73.98494984174239 40.7123544995295, -73.98485484339564 40.71171250062404, -73.98478484463827 40.71122850145089, -73.98470284600199 40.71070150234272, -73.98468384626052 40.71060450250143, -73.98466484650532 40.71051350264868, -73.98465484663669 40.71046450272828, -73.98454684906152 40.70949450442714, -73.98418885868013 40.70558151137558, -73.9858518558918 40.70541451404063, -73.98643385493423 40.70534851498868, -73.98642885555478 40.70508251549167, -73.98652985560147 40.70497851583394, -73.98651285447124 40.70548451483938, -73.98626785424261 40.70578751391301, -73.98654584564898 40.70929650757361, -73.98660484326652 40.71028350576166, -73.98661184300701 40.710390505566, -73.98661984282371 40.71046350543697, -73.98674184012206 40.71153550354725, -73.98692583661857 40.71290250117364, -73.98706183466057 40.71363749994629, -73.98716483290654 40.71431149879027))",36061000201
000201,Block Group 2; Census Tract 2.01; New York County; New York,19208,1849,14.2,77,226,0,154,0,214,1178,0,1523,513,-666666666,1955,518,25,0,493,6,5,39,7,17,0,73,5,101,17,2,38,200,7,43,49,"POLYGON ((-73.98716483290654 40.71431149879027, -73.98607683484451 40.71440049714932, -73.98534383614854 40.71446149604254, -73.98524283775728 40.71384549708236, -73.98511383814582 40.71378649702021, -73.98505783987754 40.71307749829725, -73.98494984174239 40.7123544995295, -73.98485484339564 40.71171250062404, -73.98478484463827 40.71122850145089, -73.98470284600199 40.71070150234272, -73.98468384626052 40.71060450250143, -73.98466484650532 40.71051350264868, -73.98465484663669 40.71046450272828, -73.98454684906152 40.70949450442714, -73.98418885868013 40.70558151137558, -73.9858518558918 40.70541451404063, -73.98643385493423 40.70534851498868, -73.98642885555478 40.70508251549167, -73.98652985560147 40.70497851583394, -73.98651285447124 40.70548451483938, -73.98626785424261 40.70578751391301, -73.98654584564898 40.70929650757361, -73.98660484326652 40.71028350576166, -73.98661184300701 40.710390505566, -73.98661984282371 40.71046350543697, -73.98674184012206 40.71153550354725, -73.98692583661857 40.71290250117364, -73.98706183466057 40.71363749994629, -73.98716483290654 40.71431149879027))",36061000201
000202,Block Group 1; Census Tract 2.02; New York County; New York,32548,874,45.9,198,47,0,479,0,70,80,147,201,417,-666666666,1944,397,46,77,274,0,0,0,0,0,12,61,12,0,34,15,22,125,0,10,252,"POLYGON ((-73.98534383614854 40.71446149604254, -73.98470583729116 40.71451149508559, -73.98311984017512 40.71461749274325, -73.98278584074261 40.7146574922168, -73.98245284130607 40.71469849168999, -73.9823418416179 40.71465749161774, -73.98164984342792 40.71446049105546, -73.9809228453049 40.71426349044404, -73.97996184785178 40.71397248969016, -73.97928984964724 40.71376148917481, -73.97874085109605 40.71359648873859, -73.97851885168215 40.71352948856237, -73.97843385190727 40.71350348849549, -73.97758685412867 40.71325348781057, -73.97737685467899 40.71319148764035, -73.97724485502489 40.71315248753331, -73.97593285814405 40.7129064862041, -73.97278887206745 40.70937748836737, -73.9730598719816 40.7091784891063, -73.97324287192542 40.70904348960682, -73.97426387160247 40.70829749239229, -73.97443087156611 40.70816849286169, -73.97455387152844 40.70807849319839, -73.97481987145055 40.70788249392957, -73.97501987139165 40.70773549447911, -73.97547587105662 40.70749149556548, -73.97906886758847 40.70596250344273, -73.97923286771099 40.7057685040362, -73.9794788671157 40.70582450427808, -73.98033186544026 40.70584550544035, -73.98090686420495 40.70590650613561, -73.98098686525594 40.70537350725073, -73.98185586333739 40.70548950825872, -73.98203286294334 40.70551450846126, -73.98220986254921 40.70553950866375, -73.98232886229509 40.70555150880895, -73.98244886207765 40.70554650898769, -73.98245486215241 40.70550850906799, -73.98257186190894 40.70551750921604, -73.98274786154161 40.70553150943784, -73.98274086145503 40.7055755093447, -73.98282486133573 40.70555750949725, -73.98307986093816 40.70551850993085, -73.98307986102681 40.70547951000474, -73.98322686074205 40.70548151020838, -73.98335086057619 40.70545051044214, -73.98339786045021 40.70546651047813, -73.98342586014653 40.70557651030894, -73.98344185996125 40.70564451020249, -73.98418885868013 40.70558151137558, -73.98454684906152 40.70949450442714, -73.98465484663669 40.71046450272828, -73.98466484650532 40.71051350264868, -73.98468384626052 40.71060450250143, -73.98470284600199 40.71070150234272, -73.98478484463827 40.71122850145089, -73.98485484339564 40.71171250062404, -73.98494984174239 40.7123544995295, -73.98505783987754 40.71307749829725, -73.98511383814582 40.71378649702021, -73.98524283775728 40.71384549708236, -73.98534383614854 40.71446149604254))",36061000202
000202,Block Group 2; Census Tract 2.02; New York County; New York,-666666666,1742,35.7,174,393,0,478,0,516,181,65,856,308,-666666666,1945,912,0,0,912,0,19,0,23,0,33,104,0,245,131,59,0,469,19,23,36,"POLYGON ((-73.98534383614854 40.71446149604254, -73.98470583729116 40.71451149508559, -73.98311984017512 40.71461749274325, -73.98278584074261 40.7146574922168, -73.98245284130607 40.71469849168999, -73.9823418416179 40.71465749161774, -73.98164984342792 40.71446049105546, -73.9809228453049 40.71426349044404, -73.97996184785178 40.71397248969016, -73.97928984964724 40.71376148917481, -73.97874085109605 40.71359648873859, -73.97851885168215 40.71352948856237, -73.97843385190727 40.71350348849549, -73.97758685412867 40.71325348781057, -73.97737685467899 40.71319148764035, -73.97724485502489 40.71315248753331, -73.97593285814405 40.7129064862041, -73.97278887206745 40.70937748836737, -73.9730598719816 40.7091784891063, -73.97324287192542 40.70904348960682, -73.97426387160247 40.70829749239229, -73.97443087156611 40.70816849286169, -73.97455387152844 40.70807849319839, -73.97481987145055 40.70788249392957, -73.97501987139165 40.70773549447911, -73.97547587105662 40.70749149556548, -73.97906886758847 40.70596250344273, -73.97923286771099 40.7057685040362, -73.9794788671157 40.70582450427808, -73.98033186544026 40.70584550544035, -73.98090686420495 40.70590650613561, -73.98098686525594 40.70537350725073, -73.98185586333739 40.70548950825872, -73.98203286294334 40.70551450846126, -73.98220986254921 40.70553950866375, -73.98232886229509 40.70555150880895, -73.98244886207765 40.70554650898769, -73.98245486215241 40.70550850906799, -73.98257186190894 40.70551750921604, -73.98274786154161 40.70553150943784, -73.98274086145503 40.7055755093447, -73.98282486133573 40.70555750949725, -73.98307986093816 40.70551850993085, -73.98307986102681 40.70547951000474, -73.98322686074205 40.70548151020838, -73.98335086057619 40.70545051044214, -73.98339786045021 40.70546651047813, -73.98342586014653 40.70557651030894, -73.98344185996125 40.70564451020249, -73.98418885868013 40.70558151137558, -73.98454684906152 40.70949450442714, -73.98465484663669 40.71046450272828, -73.98466484650532 40.71051350264868, -73.98468384626052 40.71060450250143, -73.98470284600199 40.71070150234272, -73.98478484463827 40.71122850145089, -73.98485484339564 40.71171250062404, -73.98494984174239 40.7123544995295, -73.98505783987754 40.71307749829725, -73.98511383814582 40.71378649702021, -73.98524283775728 40.71384549708236, -73.98534383614854 40.71446149604254))",36061000202
000202,Block Group 3; Census Tract 2.02; New York County; New York,-666666666,792,51.1,278,178,0,83,0,51,202,93,438,401,-666666666,1947,526,40,0,486,9,0,0,0,23,52,13,0,28,148,0,21,183,0,68,25,"POLYGON ((-73.98534383614854 40.71446149604254, -73.98470583729116 40.71451149508559, -73.98311984017512 40.71461749274325, -73.98278584074261 40.7146574922168, -73.98245284130607 40.71469849168999, -73.9823418416179 40.71465749161774, -73.98164984342792 40.71446049105546, -73.9809228453049 40.71426349044404, -73.97996184785178 40.71397248969016, -73.97928984964724 40.71376148917481, -73.97874085109605 40.71359648873859, -73.97851885168215 40.71352948856237, -73.97843385190727 40.71350348849549, -73.97758685412867 40.71325348781057, -73.97737685467899 40.71319148764035, -73.97724485502489 40.71315248753331, -73.97593285814405 40.7129064862041, -73.97278887206745 40.70937748836737, -73.9730598719816 40.7091784891063, -73.97324287192542 40.70904348960682, -73.97426387160247 40.70829749239229, -73.97443087156611 40.70816849286169, -73.97455387152844 40.70807849319839, -73.97481987145055 40.70788249392957, -73.97501987139165 40.70773549447911, -73.97547587105662 40.70749149556548, -73.97906886758847 40.70596250344273, -73.97923286771099 40.7057685040362, -73.9794788671157 40.70582450427808, -73.98033186544026 40.70584550544035, -73.98090686420495 40.70590650613561, -73.98098686525594 40.70537350725073, -73.98185586333739 40.70548950825872, -73.98203286294334 40.70551450846126, -73.98220986254921 40.70553950866375, -73.98232886229509 40.70555150880895, -73.98244886207765 40.70554650898769, -73.98245486215241 40.70550850906799, -73.98257186190894 40.70551750921604, -73.98274786154161 40.70553150943784, -73.98274086145503 40.7055755093447, -73.98282486133573 40.70555750949725, -73.98307986093816 40.70551850993085, -73.98307986102681 40.70547951000474, -73.98322686074205 40.70548151020838, -73.98335086057619 40.70545051044214, -73.98339786045021 40.70546651047813, -73.98342586014653 40.70557651030894, -73.98344185996125 40.70564451020249, -73.98418885868013 40.70558151137558, -73.98454684906152 40.70949450442714, -73.98465484663669 40.71046450272828, -73.98466484650532 40.71051350264868, -73.98468384626052 40.71060450250143, -73.98470284600199 40.71070150234272, -73.98478484463827 40.71122850145089, -73.98485484339564 40.71171250062404, -73.98494984174239 40.7123544995295, -73.98505783987754 40.71307749829725, -73.98511383814582 40.71378649702021, -73.98524283775728 40.71384549708236, -73.98534383614854 40.71446149604254))",36061000202
000202,Block Group 4; Census Tract 2.02; New York County; New York,74459,1902,47.6,1284,23,50,234,0,0,311,962,524,-666666666,718700,1954,992,82,620,290,0,0,34,55,19,192,103,0,145,165,15,73,364,57,234,332,"POLYGON ((-73.98534383614854 40.71446149604254, -73.98470583729116 40.71451149508559, -73.98311984017512 40.71461749274325, -73.98278584074261 40.7146574922168, -73.98245284130607 40.71469849168999, -73.9823418416179 40.71465749161774, -73.98164984342792 40.71446049105546, -73.9809228453049 40.71426349044404, -73.97996184785178 40.71397248969016, -73.97928984964724 40.71376148917481, -73.97874085109605 40.71359648873859, -73.97851885168215 40.71352948856237, -73.97843385190727 40.71350348849549, -73.97758685412867 40.71325348781057, -73.97737685467899 40.71319148764035, -73.97724485502489 40.71315248753331, -73.97593285814405 40.7129064862041, -73.97278887206745 40.70937748836737, -73.9730598719816 40.7091784891063, -73.97324287192542 40.70904348960682, -73.97426387160247 40.70829749239229, -73.97443087156611 40.70816849286169, -73.97455387152844 40.70807849319839, -73.97481987145055 40.70788249392957, -73.97501987139165 40.70773549447911, -73.97547587105662 40.70749149556548, -73.97906886758847 40.70596250344273, -73.97923286771099 40.7057685040362, -73.9794788671157 40.70582450427808, -73.98033186544026 40.70584550544035, -73.98090686420495 40.70590650613561, -73.98098686525594 40.70537350725073, -73.98185586333739 40.70548950825872, -73.98203286294334 40.70551450846126, -73.98220986254921 40.70553950866375, -73.98232886229509 40.70555150880895, -73.98244886207765 40.70554650898769, -73.98245486215241 40.70550850906799, -73.98257186190894 40.70551750921604, -73.98274786154161 40.70553150943784, -73.98274086145503 40.7055755093447, -73.98282486133573 40.70555750949725, -73.98307986093816 40.70551850993085, -73.98307986102681 40.70547951000474, -73.98322686074205 40.70548151020838, -73.98335086057619 40.70545051044214, -73.98339786045021 40.70546651047813, -73.98342586014653 40.70557651030894, -73.98344185996125 40.70564451020249, -73.98418885868013 40.70558151137558, -73.98454684906152 40.70949450442714, -73.98465484663669 40.71046450272828, -73.98466484650532 40.71051350264868, -73.98468384626052 40.71060450250143, -73.98470284600199 40.71070150234272, -73.98478484463827 40.71122850145089, -73.98485484339564 40.71171250062404, -73.98494984174239 40.7123544995295, -73.98505783987754 40.71307749829725, -73.98511383814582 40.71378649702021, -73.98524283775728 40.71384549708236, -73.98534383614854 40.71446149604254))",36061000202
000202,Block Group 6; Census Tract 2.02; New York County; New York,67740,1691,52.3,518,593,0,170,0,335,75,334,613,1105,-666666666,1963,721,87,190,444,1,14,68,0,0,0,84,0,29,34,30,0,147,35,69,176,"POLYGON ((-73.98534383614854 40.71446149604254, -73.98470583729116 40.71451149508559, -73.98311984017512 40.71461749274325, -73.98278584074261 40.7146574922168, -73.98245284130607 40.71469849168999, -73.9823418416179 40.71465749161774, -73.98164984342792 40.71446049105546, -73.9809228453049 40.71426349044404, -73.97996184785178 40.71397248969016, -73.97928984964724 40.71376148917481, -73.97874085109605 40.71359648873859, -73.97851885168215 40.71352948856237, -73.97843385190727 40.71350348849549, -73.97758685412867 40.71325348781057, -73.97737685467899 40.71319148764035, -73.97724485502489 40.71315248753331, -73.97593285814405 40.7129064862041, -73.97278887206745 40.70937748836737, -73.9730598719816 40.7091784891063, -73.97324287192542 40.70904348960682, -73.97426387160247 40.70829749239229, -73.97443087156611 40.70816849286169, -73.97455387152844 40.70807849319839, -73.97481987145055 40.70788249392957, -73.97501987139165 40.70773549447911, -73.97547587105662 40.70749149556548, -73.97906886758847 40.70596250344273, -73.97923286771099 40.7057685040362, -73.9794788671157 40.70582450427808, -73.98033186544026 40.70584550544035, -73.98090686420495 40.70590650613561, -73.98098686525594 40.70537350725073, -73.98185586333739 40.70548950825872, -73.98203286294334 40.70551450846126, -73.98220986254921 40.70553950866375, -73.98232886229509 40.70555150880895, -73.98244886207765 40.70554650898769, -73.98245486215241 40.70550850906799, -73.98257186190894 40.70551750921604, -73.98274786154161 40.70553150943784, -73.98274086145503 40.7055755093447, -73.98282486133573 40.70555750949725, -73.98307986093816 40.70551850993085, -73.98307986102681 40.70547951000474, -73.98322686074205 40.70548151020838, -73.98335086057619 40.70545051044214, -73.98339786045021 40.70546651047813, -73.98342586014653 40.70557651030894, -73.98344185996125 40.70564451020249, -73.98418885868013 40.70558151137558, -73.98454684906152 40.70949450442714, -73.98465484663669 40.71046450272828, -73.98466484650532 40.71051350264868, -73.98468384626052 40.71060450250143, -73.98470284600199 40.71070150234272, -73.98478484463827 40.71122850145089, -73.98485484339564 40.71171250062404, -73.98494984174239 40.7123544995295, -73.98505783987754 40.71307749829725, -73.98511383814582 40.71378649702021, -73.98524283775728 40.71384549708236, -73.98534383614854 40.71446149604254))",36061000202
000600,Block Group 1; Census Tract 6; New York County; New York,22113,1814,50.2,182,0,0,1632,0,0,0,64,118,1145,589300,1938,1163,195,63,905,38,0,66,92,17,69,106,0,24,104,26,17,329,0,196,83,"POLYGON ((-73.99256182210242 40.71438750593582, -73.99213382287054 40.71441950529498, -73.9912248245048 40.71448650393643, -73.99075482527483 40.71455350317132, -73.99021982667537 40.71440450273861, -73.98933682904492 40.71413250207261, -73.98870283017212 40.71418450111444, -73.98716483290654 40.71431149879027, -73.98706183466057 40.71363749994629, -73.98692583661857 40.71290250117364, -73.98674184012206 40.71153550354725, -73.98661984282371 40.71046350543697, -73.98661184300701 40.710390505566, -73.98660484326652 40.71028350576166, -73.98654584564898 40.70929650757361, -73.98626785424261 40.70578751391301, -73.98651285447124 40.70548451483938, -73.98652985560147 40.70497851583394, -73.98662285542453 40.70497851596548, -73.98664085530065 40.7050175159161, -73.98668985507635 40.70507451587601, -73.98676185484045 40.70511751589525, -73.98686585454357 40.70516051595968, -73.98727085372641 40.70518051649358, -73.98744885342204 40.70516551677397, -73.98757685319677 40.70515751697026, -73.98795685252864 40.70513351755356, -73.98922385010961 40.70513651933854, -73.98938084981071 40.70513651956044, -73.99193883468293 40.70952751459334, -73.99196983448742 40.70958551452287, -73.99202783412515 40.70969251439391, -73.99207483385186 40.70977051430636, -73.99199483397175 40.70978551416646, -73.99189683412418 40.70980151399976, -73.99185983418184 40.7098075139369, -73.99177683431689 40.70981851380071, -73.99197683137818 40.71091051194239, -73.99218282895764 40.71177451053537, -73.99226682717322 40.71246750929429, -73.99239182523739 40.71319050804941, -73.99246782353002 40.71385650684859, -73.99256182210242 40.71438750593582))",36061000600
000600,Block Group 2; Census Tract 6; New York County; New York,36134,3011,53.1,315,610,0,1046,0,347,693,293,1181,914,-666666666,1968,1723,134,83,1506,0,0,75,105,67,35,239,0,10,153,256,226,609,0,84,89,"POLYGON ((-73.99256182210242 40.71438750593582, -73.99213382287054 40.71441950529498, -73.9912248245048 40.71448650393643, -73.99075482527483 40.71455350317132, -73.99021982667537 40.71440450273861, -73.98933682904492 40.71413250207261, -73.98870283017212 40.71418450111444, -73.98716483290654 40.71431149879027, -73.98706183466057 40.71363749994629, -73.98692583661857 40.71290250117364, -73.98674184012206 40.71153550354725, -73.98661984282371 40.71046350543697, -73.98661184300701 40.710390505566, -73.98660484326652 40.71028350576166, -73.98654584564898 40.70929650757361, -73.98626785424261 40.70578751391301, -73.98651285447124 40.70548451483938, -73.98652985560147 40.70497851583394, -73.98662285542453 40.70497851596548, -73.98664085530065 40.7050175159161, -73.98668985507635 40.70507451587601, -73.98676185484045 40.70511751589525, -73.98686585454357 40.70516051595968, -73.98727085372641 40.70518051649358, -73.98744885342204 40.70516551677397, -73.98757685319677 40.70515751697026, -73.98795685252864 40.70513351755356, -73.98922385010961 40.70513651933854, -73.98938084981071 40.70513651956044, -73.99193883468293 40.70952751459334, -73.99196983448742 40.70958551452287, -73.99202783412515 40.70969251439391, -73.99207483385186 40.70977051430636, -73.99199483397175 40.70978551416646, -73.99189683412418 40.70980151399976, -73.99185983418184 40.7098075139369, -73.99177683431689 40.70981851380071, -73.99197683137818 40.71091051194239, -73.99218282895764 40.71177451053537, -73.99226682717322 40.71246750929429, -73.99239182523739 40.71319050804941, -73.99246782353002 40.71385650684859, -73.99256182210242 40.71438750593582))",36061000600
000600,Block Group 3; Census Tract 6; New York County; New York,-666666666,503,45.9,173,0,0,330,0,0,0,146,27,1340,-666666666,1938,398,118,0,280,0,0,34,0,65,94,0,0,44,0,27,0,151,0,136,0,"POLYGON ((-73.99256182210242 40.71438750593582, -73.99213382287054 40.71441950529498, -73.9912248245048 40.71448650393643, -73.99075482527483 40.71455350317132, -73.99021982667537 40.71440450273861, -73.98933682904492 40.71413250207261, -73.98870283017212 40.71418450111444, -73.98716483290654 40.71431149879027, -73.98706183466057 40.71363749994629, -73.98692583661857 40.71290250117364, -73.98674184012206 40.71153550354725, -73.98661984282371 40.71046350543697, -73.98661184300701 40.710390505566, -73.98660484326652 40.71028350576166, -73.98654584564898 40.70929650757361, -73.98626785424261 40.70578751391301, -73.98651285447124 40.70548451483938, -73.98652985560147 40.70497851583394, -73.98662285542453 40.70497851596548, -73.98664085530065 40.7050175159161, -73.98668985507635 40.70507451587601, -73.98676185484045 40.70511751589525, -73.98686585454357 40.70516051595968, -73.98727085372641 40.70518051649358, -73.98744885342204 40.70516551677397, -73.98757685319677 40.70515751697026, -73.98795685252864 40.70513351755356, -73.98922385010961 40.70513651933854, -73.98938084981071 40.70513651956044, -73.99193883468293 40.70952751459334, -73.99196983448742 40.70958551452287, -73.99202783412515 40.70969251439391, -73.99207483385186 40.70977051430636, -73.99199483397175 40.70978551416646, -73.99189683412418 40.70980151399976, -73.99185983418184 40.7098075139369, -73.99177683431689 40.70981851380071, -73.99197683137818 40.71091051194239, -73.99218282895764 40.71177451053537, -73.99226682717322 40.71246750929429, -73.99239182523739 40.71319050804941, -73.99246782353002 40.71385650684859, -73.99256182210242 40.71438750593582))",36061000600
000600,Block Group 4; Census Tract 6; New York County; New York,71450,1265,43.4,71,52,0,1046,0,64,32,71,64,1302,-666666666,1938,303,0,0,303,0,0,0,201,161,19,0,0,0,67,0,0,67,19,362,39,"POLYGON ((-73.99256182210242 40.71438750593582, -73.99213382287054 40.71441950529498, -73.9912248245048 40.71448650393643, -73.99075482527483 40.71455350317132, -73.99021982667537 40.71440450273861, -73.98933682904492 40.71413250207261, -73.98870283017212 40.71418450111444, -73.98716483290654 40.71431149879027, -73.98706183466057 40.71363749994629, -73.98692583661857 40.71290250117364, -73.98674184012206 40.71153550354725, -73.98661984282371 40.71046350543697, -73.98661184300701 40.710390505566, -73.98660484326652 40.71028350576166, -73.98654584564898 40.70929650757361, -73.98626785424261 40.70578751391301, -73.98651285447124 40.70548451483938, -73.98652985560147 40.70497851583394, -73.98662285542453 40.70497851596548, -73.98664085530065 40.7050175159161, -73.98668985507635 40.70507451587601, -73.98676185484045 40.70511751589525, -73.98686585454357 40.70516051595968, -73.98727085372641 40.70518051649358, -73.98744885342204 40.70516551677397, -73.98757685319677 40.70515751697026, -73.98795685252864 40.70513351755356, -73.98922385010961 40.70513651933854, -73.98938084981071 40.70513651956044, -73.99193883468293 40.70952751459334, -73.99196983448742 40.70958551452287, -73.99202783412515 40.70969251439391, -73.99207483385186 40.70977051430636, -73.99199483397175 40.70978551416646, -73.99189683412418 40.70980151399976, -73.99185983418184 40.7098075139369, -73.99177683431689 40.70981851380071, -73.99197683137818 40.71091051194239, -73.99218282895764 40.71177451053537, -73.99226682717322 40.71246750929429, -73.99239182523739 40.71319050804941, -73.99246782353002 40.71385650684859, -73.99256182210242 40.71438750593582))",36061000600
000600,Block Group 5; Census Tract 6; New York County; New York,17083,1613,54.6,290,84,0,183,0,917,139,173,1058,-666666666,-666666666,1950,837,91,0,746,0,0,0,34,144,0,63,0,0,0,0,63,136,0,42,0,"POLYGON ((-73.99256182210242 40.71438750593582, -73.99213382287054 40.71441950529498, -73.9912248245048 40.71448650393643, -73.99075482527483 40.71455350317132, -73.99021982667537 40.71440450273861, -73.98933682904492 40.71413250207261, -73.98870283017212 40.71418450111444, -73.98716483290654 40.71431149879027, -73.98706183466057 40.71363749994629, -73.98692583661857 40.71290250117364, -73.98674184012206 40.71153550354725, -73.98661984282371 40.71046350543697, -73.98661184300701 40.710390505566, -73.98660484326652 40.71028350576166, -73.98654584564898 40.70929650757361, -73.98626785424261 40.70578751391301, -73.98651285447124 40.70548451483938, -73.98652985560147 40.70497851583394, -73.98662285542453 40.70497851596548, -73.98664085530065 40.7050175159161, -73.98668985507635 40.70507451587601, -73.98676185484045 40.70511751589525, -73.98686585454357 40.70516051595968, -73.98727085372641 40.70518051649358, -73.98744885342204 40.70516551677397, -73.98757685319677 40.70515751697026, -73.98795685252864 40.70513351755356, -73.98922385010961 40.70513651933854, -73.98938084981071 40.70513651956044, -73.99193883468293 40.70952751459334, -73.99196983448742 40.70958551452287, -73.99202783412515 40.70969251439391, -73.99207483385186 40.70977051430636, -73.99199483397175 40.70978551416646, -73.99189683412418 40.70980151399976, -73.99185983418184 40.7098075139369, -73.99177683431689 40.70981851380071, -73.99197683137818 40.71091051194239, -73.99218282895764 40.71177451053537, -73.99226682717322 40.71246750929429, -73.99239182523739 40.71319050804941, -73.99246782353002 40.71385650684859, -73.99256182210242 40.71438750593582))",36061000600
000600,Block Group 6; Census Tract 6; New York County; New York,26047,2545,57.1,194,27,56,1330,0,770,168,112,853,574,974000,1977,1305,0,86,1219,0,0,21,266,119,34,103,0,56,120,0,0,228,42,449,16,"POLYGON ((-73.99256182210242 40.71438750593582, -73.99213382287054 40.71441950529498, -73.9912248245048 40.71448650393643, -73.99075482527483 40.71455350317132, -73.99021982667537 40.71440450273861, -73.98933682904492 40.71413250207261, -73.98870283017212 40.71418450111444, -73.98716483290654 40.71431149879027, -73.98706183466057 40.71363749994629, -73.98692583661857 40.71290250117364, -73.98674184012206 40.71153550354725, -73.98661984282371 40.71046350543697, -73.98661184300701 40.710390505566, -73.98660484326652 40.71028350576166, -73.98654584564898 40.70929650757361, -73.98626785424261 40.70578751391301, -73.98651285447124 40.70548451483938, -73.98652985560147 40.70497851583394, -73.98662285542453 40.70497851596548, -73.98664085530065 40.7050175159161, -73.98668985507635 40.70507451587601, -73.98676185484045 40.70511751589525, -73.98686585454357 40.70516051595968, -73.98727085372641 40.70518051649358, -73.98744885342204 40.70516551677397, -73.98757685319677 40.70515751697026, -73.98795685252864 40.70513351755356, -73.98922385010961 40.70513651933854, -73.98938084981071 40.70513651956044, -73.99193883468293 40.70952751459334, -73.99196983448742 40.70958551452287, -73.99202783412515 40.70969251439391, -73.99207483385186 40.70977051430636, -73.99199483397175 40.70978551416646, -73.99189683412418 40.70980151399976, -73.99185983418184 40.7098075139369, -73.99177683431689 40.70981851380071, -73.99197683137818 40.71091051194239, -73.99218282895764 40.71177451053537, -73.99226682717322 40.71246750929429, -73.99239182523739 40.71319050804941, -73.99246782353002 40.71385650684859, -73.99256182210242 40.71438750593582))",36061000600
000700,Block Group 1; Census Tract 7; New York County; New York,173542,243,28.0,163,0,0,0,0,80,0,163,80,3346,-666666666,1954,163,0,0,163,0,0,64,0,0,57,19,0,0,0,0,0,19,0,121,103,"POLYGON ((-74.01250781947449 40.70676656235324, -74.01194681801313 40.70745155971795, -74.01170281736506 40.70775555855681, -74.01124781620932 40.70830355641957, -74.0110118155977 40.70859355529726, -74.010845815171 40.7087965545083, -74.01054181442895 40.70915355308772, -74.01014681508522 40.70897555241953, -74.00965981589331 40.70875555159989, -74.00937081640035 40.70861355113637, -74.00826881919909 40.70772155003804, -74.0077818201987 40.70741954938944, -74.0074588208614 40.70721854896321, -74.00708482172914 40.70694454855047, -74.00678082242835 40.70672354821419, -74.0060208242419 40.70614154743944, -74.0055218253501 40.7057905468789, -74.00474882709571 40.70523154605138, -74.00463282733007 40.70515854590737, -74.00455982749719 40.70510454583248, -74.00433782794558 40.70496454555857, -74.004551828155 40.70483754632933, -74.00420582967585 40.70428254655785, -74.00362683234259 40.70329954706011, -73.99813684173806 40.70152453914683, -73.99669784597643 40.70087653836529, -73.99749984738155 40.69965254196011, -73.99803184850944 40.69876154450979, -73.99837584957071 40.69804754643731, -74.00045384472608 40.69873854848981, -74.00606583602476 40.70135855668484, -74.00698083368454 40.70214355738857, -74.00753083231868 40.70259555786035, -74.00772683171867 40.70280155794586, -74.00781383145558 40.70289155798694, -74.00785083117005 40.70299955787339, -74.00786483111392 40.70301955786968, -74.00790283094983 40.70307855785082, -74.00792583086719 40.70310755785203, -74.00794883077707 40.70313955784764, -74.00797983064096 40.70318855783074, -74.00854082911749 40.70369655824136, -74.00898582795654 40.70407855861274, -74.0091028276166 40.70419255868606, -74.00946182656601 40.70454455890972, -74.00974682585402 40.70477455918166, -74.0099838248034 40.70514755907401, -74.00999482433762 40.70533055876331, -74.00986582322753 40.70579655758505, -74.01027582265311 40.70594555832233, -74.01041982245182 40.70599755858235, -74.01118982136755 40.70627755997339, -74.01187282033622 40.70655156116666, -74.01239981948237 40.70678456205256, -74.01250781947449 40.70676656235324))",36061000700
